City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Williamsport,US,55.99,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
486,Eyl,SO,80.56,overcast clouds,7.9803,49.8164,Amiin Hotel
487,Khash,IR,62.06,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
490,Luwingu,ZM,66.72,light rain,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
491,Crystal Beach,CA,57.99,scattered clouds,42.8699,-79.0583,Yellow Door Bed and Breakfast
492,Lashio,MM,69.76,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
494,Amuntai,ID,75.87,overcast clouds,-2.4177,115.2494,Hotel Balqis
495,Indramayu,ID,79.36,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
496,Salinopolis,BR,80.33,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
497,Rivadavia,AR,71.6,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
498,Concepcion Del Oro,MX,61.14,overcast clouds,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
499,Pangkalanbuun,ID,75.34,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
500,Assens,DK,60.8,overcast clouds,55.2702,9.9008,Overnatning Assens
502,Yarada,IN,84.2,mist,17.65,83.2667,Jeevan
504,Porto Velho,BR,77.0,broken clouds,-8.7619,-63.9039,Hotel Central
508,Asilah,MA,68.0,scattered clouds,35.465,-6.0348,Hotel Zelis
509,Axim,GH,84.79,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
510,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
512,Geraldton,AU,71.6,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
513,Mahibadhoo,MV,84.0,broken clouds,3.7833,72.9667,Omadhoo Inn
514,Arrecife,ES,69.8,few clouds,28.963,-13.5477,Hotel Lancelot
515,Mizdah,LY,73.24,scattered clouds,31.4451,12.9801,محمدالمبروك الاريقط
516,Kasulu,TZ,71.6,light rain,-4.5767,30.1025,Nazaret lodge
517,Broome,US,55.0,clear sky,42.2506,-75.833,Chenango Valley State Park
518,Nilakkottai,IN,84.2,few clouds,10.1648,77.8529,A.S Mahal
519,Carutapera,BR,80.85,overcast clouds,-1.195,-46.02,Lidera
520,Port Lincoln,AU,65.3,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
521,Kyabram,AU,57.0,clear sky,-36.3167,145.05,Kyabram Motor Inn
522,Vicente Guerrero,MX,59.0,clear sky,19.1194,-98.1708,Churros Inn
524,Mercedes,AR,73.99,clear sky,-34.6515,-59.4307,Posada del Inti Centro
525,Majene,ID,79.03,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
528,Buraydah,SA,84.2,few clouds,26.326,43.975,فندق راحة السلام
529,Saquisili,EC,55.4,light rain,-0.8333,-78.6667,Hosteria gilocarmelo
531,Tawau,MY,75.2,scattered clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
532,Tura,IN,69.82,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
537,Sola,VU,80.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
538,Maputo,MZ,80.01,few clouds,-25.9653,32.5892,Pestana Rovuma
541,Asau,RO,57.2,clear sky,46.4333,26.4,Casa Mika Ciobanus
542,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
546,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
547,Ranong,TH,81.27,heavy intensity rain,9.9658,98.6348,Tinidee Hotel@Ranong
548,Caarapo,BR,73.74,overcast clouds,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
549,Goderich,CA,55.4,overcast clouds,43.7501,-81.7165,Harmony Inn
556,Port Moresby,PG,75.2,light rain,-9.4431,147.1797,Lamana Hotel
557,Llanes,ES,81.0,broken clouds,43.4198,-4.7549,Hotel La Paz
561,Isangel,VU,78.1,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
562,Mosquera,CO,60.8,scattered clouds,4.7059,-74.2302,Hotel SJ
563,Pemba,MZ,82.4,moderate rain,-12.974,40.5178,Guesthouse Samotina
564,Lithgow,AU,55.99,few clouds,-33.4833,150.15,Zig Zag Motel Lithgow
565,Bull Savanna,JM,82.31,clear sky,17.8868,-77.5902,Big Red's
566,Lima,PE,73.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
569,Velke Mezirici,CZ,69.01,clear sky,49.3552,16.0122,Jelínkova vila
